Latitude,Longitude,Total_Vaccinated
33.93911,67.709953,240000
41.1533,20.1683,596766
28.0339,1.6596,75000
42.5063,1.5218,28881
-11.2027,17.8739,456349
17.0608,-61.7964,29754
-38.4161,-63.6167,9001747
40.0691,45.0382,565
-34.9285,138.6007,2627725
47.5162,14.5501,3612674
40.1431,47.5769,1661772
25.025885,-78.035889,25692
26.0275,50.55,1357817
23.685,90.3563,9133278
13.1939,-59.5432,75296
53.7098,27.9534,328500
50.8333,4.469936,4591359
17.1899,-88.4976,46659
27.5142,90.4336,481400
-16.2902,-63.5887,878563
43.9159,17.6791,106464
-22.3285,24.6849,49882
-14.235,-51.9253,46875460
4.5353,114.7277,10715
42.7339,25.4858,932419
11.55,104.9167,2826589
3.848,11.5021,11000
56.1304,-106.3468,15652046
-35.6751,-71.543,15526627
33.882,113.614,317586000
4.5709,-74.2973,6096661
-11.6455,43.3333,13440
-0.228,15.8277,14297
9.7489,-83.7534,950252
7.54,-5.5471,215010
45.1,15.2,1117709
35.1264,33.4299,287816
49.8175,15.473,3628177
71.7069,-42.6043,2299141
11.8251,42.5903,10246
15.415,-61.371,27821
18.7357,-70.1627,2325108
-1.8312,-78.1834,1215676
26.820553,30.802498,660000
13.7942,-88.8965,1114544
1.6508,10.2679,75518
58.5953,25.0136,529409
-26.5225,31.4659,34897
9.145,40.4897,1215934
-17.7134,178.065,56000
61.92411,25.748151,2154469
46.2276,2.2137,25185064
-0.8037,11.6094,8897
13.4432,-15.3101,20922
42.3154,43.3569,54687
51.165691,10.451526,34408840
7.9465,-1.0232,849527
39.0742,21.8243,3647689
12.1165,-61.679,17000
15.7835,-90.2308,204328
9.9456,-9.6966,169529
4.860416,-58.93018,126800
15.2,-86.2419,57639
47.1625,19.5033,6714425
64.9631,-19.0208,184304
20.593684,78.96288,167493857
-0.7893,113.9213,21666868
32.427908,53.688046,1485287
33.223191,43.679291,298377
53.1424,-7.6921,1799190
31.046051,34.851612,10493830
41.87194,12.56738,23667315
18.1096,-77.2975,135473
36.204824,138.252924,4197463
31.24,36.51,1091048
49.214439,-2.13125,88404
48.0196,66.9237,2158924
-0.0236,37.9062,853081
42.602636,20.902977,22096
29.31166,47.481766,1440000
41.20438,74.766098,27858
19.85627,102.495496,184387
56.8796,24.6032,389718
33.8547,35.8623,509705
-29.61,28.2336,16000
26.3351,17.228331,750
47.14,9.55,13829
55.1694,23.8813,1154849
49.8153,6.1296,227314
-13.2543,34.3015,311751
4.210484,101.975766,1734348
3.2028,73.2207,427228
17.570692,-3.996166,49903
35.9375,14.3754,375986
21.0079,-10.9408,7038
-20.348404,57.552152,117323
23.6345,-102.5528,20540830
47.4116,28.3699,184660
43.7333,7.4167,24390
46.8625,103.8467,2154623
42.708678,19.37439,102853
31.7917,-7.0926,9864561
-18.6657,35.5296,57305
21.913965,95.956223,1040000
-22.9576,18.4904,36417
28.1667,84.25,2453512
12.1784,-68.2385,5651843
-40.9006,174.886,304900
12.865416,-85.207229,135130
17.607789,8.081666,1366
9.082,8.6753,1289773
41.6086,21.7453,97004
60.472,8.4689,1919369
21.512583,55.923255,315691
30.3753,69.3451,3320304
8.538,-80.7821,769842
-23.4425,-58.4438,143441
-6.314993,143.95555,2900
12.879721,121.774017,2395494
51.9194,19.1451,13670541
39.3999,-8.2245,3880887
25.3548,51.1839,1787160
-9.19,-75.0152,1939155
45.9432,24.9668,5781222
61.52401,105.318756,21597074
-24.143474,-10.030696,4572
17.357822,-62.782998,13070
13.9094,-60.9789,25200
12.9843,-61.2872,14526
-13.759,-172.1046,7435
43.9424,12.4578,34011
0.1864,6.6131,9724
23.885942,45.079162,10399716
14.4974,-14.4524,423451
44.0165,21.0059,3786348
-4.6796,55.492,127721
8.460555,-11.779889,61107
1.2833,103.8333,2213888
48.669,19.699,1792674
46.1512,14.9955,733789
-9.6457,160.1562,4890
5.152149,46.199616,117567
-30.5595,22.9375,382480
6.877,31.307,947
40.463667,-3.74922,19048132
7.873054,80.771797,1105342
12.8628,30.2176,140227
3.9193,-56.0278,90338
60.128161,18.643501,3679451
46.8182,8.2275,3001029
34.8021,38.9968,2500
23.7,121,91002
15.870032,100.992541,1743720
-8.8742,125.7275,2629
8.6195,0.8248,160000
10.6918,-61.2225,60732
33.886917,9.537499,457568
38.9637,35.2433,24853353
40,-100,257347205
1.373333,32.290275,387024
48.3794,31.1656,863085
23.424076,53.847818,11126889
21.694,-71.7979,25039
55.3781,-3.436,52403417
-32.5228,-55.7658,2002792
41.377491,64.585262,600369
6.4238,-66.5897,250000
14.058324,108.277199,509855
-13.133897,27.849332,77348
-19.015438,29.154857,640762
